event_id,claim,gold_label,pred_label,rank_distance,support_evidence_count,refute_evidence_count,subclaim_count
1051.json,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",true,pants-fire,5,3,3,0
11083.json,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,true,pants-fire,5,3,3,0
12084.json,"Says a YouTube video shows Thomas DiMassimo, the man who rushed Trump at an Ohio rally, dragging the American flag on the ground like it was a piece of garbage.",true,pants-fire,5,3,3,0
4353.json,Rooting for the Red Sox is like rooting for the drug companies.,true,pants-fire,5,3,3,0
12873.json,"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",pants-fire,true,5,3,3,0
12065.json,The U.S. doesnt make television sets anymore.,true,pants-fire,5,3,3,0
5603.json,Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,true,pants-fire,5,3,3,0
2305.json,"Under the new health care law, if a landscaper wants to buy a new lawnmower, or a restaurant needs a new ice-maker, they have to report that to the feds.",true,pants-fire,5,3,3,0
7426.json,Theres more murders with hammers last year than...shotguns and pistols and AK-47s.,pants-fire,true,5,3,3,0
11966.json,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,false,true,4,3,3,0
10055.json,"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.",mostly-true,pants-fire,4,3,3,0
9762.json,"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.",true,false,4,3,3,0
2679.json,"I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran.",true,false,4,3,3,0
8941.json,"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",true,false,4,3,3,0
9269.json,Many of the founding fathers were very actively involved in cockfighting.,false,true,4,3,3,0
6046.json,There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.,false,true,4,3,3,0
3709.json,"Im well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.",false,true,4,3,3,0
11764.json,Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,pants-fire,mostly-true,4,3,3,0
2547.json,I said no to these big bank bailouts.,true,false,4,3,3,0
384.json,John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.,true,false,4,3,3,0
737.json,"McCain ""has opposed stem cell research.""",false,true,4,3,3,0
8901.json,"The Keystone pipeline creates 35 permanent jobs after construction, according to a government report.",true,false,4,3,3,0
10085.json,"All four on Mount Rushmore, they were all independents at one critical point in their career.",false,true,4,3,3,0
8558.json,Rhode Islands unemployment insurance system is the most expensive such system in the country.,false,true,4,3,3,0
204.json,The Red Sox waited 87 long years to win the World Series.,false,true,4,3,3,0
7695.json,On allowing a vote on universal gun background checks in the U.S. Senate.,true,false,4,3,3,0
1052.json,Obama has more czars than the Romanovs.,true,false,4,3,3,0
10853.json,Hedge fund managers pay less in taxes than nurses and truck drivers.,false,true,4,3,3,0
9610.json,David Perdue has never voted in a Republican primary until his name was on the ballot.,false,true,4,3,3,0
6195.json,Lorain is the poorest urban school district in the state of Ohio.,false,true,4,3,3,0
10271.json,"Atlanta Mayor Kasim Reed became a city resident in the last annexation, opening the door to his candidacy.",mostly-true,pants-fire,4,3,3,0
4995.json,Ive done more impeachments than anybody else in the history of the country.,true,false,4,3,3,0
3676.json,"In a lawsuit between private citizens, a Florida judge announced the decision was going to be based on Islamic Law.",mostly-true,pants-fire,4,3,3,0
8089.json,Says HJM 20 was the only bill not assigned to a House committee.,false,true,4,3,3,0
12526.json,"Says if you try to hide marijuana in a hemp field, it becomes worthless. The THC goes away.",mostly-true,pants-fire,4,3,3,0
9737.json,The music industry is the biggest export from Africa after oil and gas.,false,true,4,3,3,0
5950.json,On the Troubled Asset Relief Program (TARP),true,false,4,3,3,0
9957.json,"Congress includes 36 people accused of spousal abuse, 84 arrested for drunk driving in the past year, 71 with terrible creditand more.",pants-fire,mostly-true,4,3,3,0
1243.json,There's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed.,false,true,4,3,3,0
9192.json,Says Charlie Crist implemented Jeb Bushs A+ Plan.,true,false,4,3,3,0
9151.json,"When people enter the service, theres not a mental health evaluation.",true,false,4,3,3,0
235.json,... following World War II war crime trials were convened. The Japanese were tried and convicted and hung for war crimes committed against American POWs. Among those charges for which they were convicted was waterboarding.,true,false,4,3,3,0
11150.json,Caution: Kissing and cuddling chickens can be hazardous to your health.,true,false,4,3,3,0
7244.json,The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island.,false,true,4,3,3,0
3194.json,Property tax exemptions can be granted to small businesses that move into Milwaukee County.,false,true,4,3,3,0
7288.json,Says Virginia economic development officials decided they didnt want to bid on his companys electric automobile plant.,false,true,4,3,3,0
8463.json,Were second only to Boston in college students per capita.,false,true,4,3,3,0
180.json,Congress' approval rating is 11 percent. You know who's higher? Dick Cheney and HMOs.,false,true,4,3,3,0
2594.json,John Raeses wife is registered to vote in Florida so she cant even vote for him.,true,false,4,3,3,0
12770.json,I wake up every morning in a house (the White House) that was built by slaves.,true,false,4,3,3,0
9256.json,Some of the wealthiest Americans are African-American now.,false,true,4,3,3,0
10140.json,Four members of the Rhode Island General Assembly went to vote in 2010 and were told they had already voted.,false,true,4,3,3,0
4208.json,This is the first time in the history that weve had the raising of a debt limit also with spending cuts.,false,true,4,3,3,0
714.json,"Sarah Palin was repeating ""Abraham Lincoln's words"" in discussing the war in Iraq.",mostly-true,pants-fire,4,3,3,0
12244.json,"In nine Democratic debates, Weve not had one question about a womans right to make her own decisions about reproductive health care, not one question.",true,false,4,3,3,0
2470.json,"If you look at the application for a security clearance, I have a clearance that even the president of the United States cannot obtain because of my background.",pants-fire,mostly-true,4,3,3,0
9241.json,I am the only senator who turned down the state pension plan for part-time legislators.,true,false,4,3,3,0
