event_id,claim,gold_label,pred_label,rank_distance,support_evidence_count,refute_evidence_count,subclaim_count
11083.json,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,true,pants-fire,5,2,2,1
8941.json,"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",true,pants-fire,5,2,2,1
12873.json,"In the 2012 election, there were more votes cast than registered voters in St. Lucie County, and Palm Beach County had 141 percent turnout.",pants-fire,true,5,2,2,1
5723.json,About 78 to 81 House Democrats are members of the Communist Party. ... Its called the Congressional Progressive Caucus.,pants-fire,true,5,2,2,1
2594.json,John Raeses wife is registered to vote in Florida so she cant even vote for him.,true,pants-fire,5,2,2,1
11972.json,Building a wall on the U.S.-Mexico border will take literally years.,true,false,4,2,2,1
9524.json,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.",pants-fire,mostly-true,4,2,2,1
5962.json,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,true,false,4,2,2,1
7070.json,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,true,false,4,2,2,1
3331.json,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,pants-fire,mostly-true,4,2,2,1
1051.json,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.",true,false,4,2,2,1
2092.json,Sixty percent of the Hispanics support the Arizona immigration law,pants-fire,mostly-true,4,2,2,1
10163.json,"Before World War II, very few people actually had health insurance.",true,false,4,2,2,1
2796.json,Half of children struck by cars near schools are hit by parents driving children to school.,false,true,4,2,2,1
934.json,Putting three Republicans in my Cabinet...is unprecedented.,true,false,4,2,2,1
8667.json,Iran President Hassan Rouhani has more Cabinet members with Ph.D.s from American universities than members of Barack Obamas Cabinet.,true,false,4,2,2,1
9269.json,Many of the founding fathers were very actively involved in cockfighting.,false,true,4,2,2,1
769.json,Barack Obama ... 96 percent of his votes have been solely along party line.,true,false,4,2,2,1
1251.json,Health care premiums for consumers have doubled since 2001.,true,false,4,2,2,1
2652.json,Says Rick Perry recently said he wanted another (Texas) business tax.,pants-fire,mostly-true,4,2,2,1
2547.json,I said no to these big bank bailouts.,true,false,4,2,2,1
3575.json,On federal stimulus money for expanding rail service.,true,false,4,2,2,1
12994.json,"The Clinton Foundation is a charity where President and Secretary Clinton and their daughter, they take no salary, they get no money from it, they take no personal benefit from it.",mostly-true,pants-fire,4,2,2,1
737.json,"McCain ""has opposed stem cell research.""",false,true,4,2,2,1
5753.json,Rhode Islands exports have increased by 53 percent in the last two years.,true,false,4,2,2,1
8558.json,Rhode Islands unemployment insurance system is the most expensive such system in the country.,false,true,4,2,2,1
664.json,"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",false,true,4,2,2,1
1199.json,"The Baucus bill ""contains provisions that would send massive federal subsidies directly to both private insurance plans and government-chartered cooperatives that pay for elective abortion.""",true,false,4,2,2,1
3021.json,State governments have little ability to stimulate job growth in the short run.,true,false,4,2,2,1
683.json,"Sarah Palin ""already has more executive experience"" than Barack Obama and Joe Biden ""combined.""",true,false,4,2,2,1
7834.json,Nothing in the Constitution explicitly guarantees our right to vote.,true,false,4,2,2,1
1052.json,Obama has more czars than the Romanovs.,true,false,4,2,2,1
5993.json,Says Larry Taylor gave in-state tuition to illegal immigrants.,pants-fire,mostly-true,4,2,2,1
12987.json,Both the Democratic and Republican candidates for president in 2016 are quite unpopular.,true,false,4,2,2,1
211.json,He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq.,true,false,4,2,2,1
10943.json,Ninety-seven percent of Americans do not receive subsidies for health care under the Affordable Care Act.,true,false,4,2,2,1
2720.json,Says state Senate candidate Monk Elmer voted to exceed the (school district property tax) spending caps.,pants-fire,mostly-true,4,2,2,1
605.json,Senator Obama has voted 94 times to either increase your taxes or against tax cuts.,false,true,4,2,2,1
8798.json,And weve constantly been the lowest unemployed county in the state.,false,true,4,2,2,1
11925.json,"We are almost halfway to our goal of 1,000 rapes prosecuted!",true,false,4,2,2,1
1106.json,All private healthcare plans must conform to government rules to participate in a Healthcare Exchange.,true,false,4,2,2,1
8089.json,Says HJM 20 was the only bill not assigned to a House committee.,false,true,4,2,2,1
9737.json,The music industry is the biggest export from Africa after oil and gas.,false,true,4,2,2,1
2986.json,The Milwaukee business community did not speak about the facts -- and in support of train manufacturer Talgo -- as the Milwaukee-Madison rail link was being killed.,true,false,4,2,2,1
